table_schema,table_name,table_type
new schema,renamed,BASE TABLE
public,YASSINTEST,BASE TABLE
public,auth_authenticator,BASE TABLE
public,auth_group,BASE TABLE
public,auth_group_permissions,BASE TABLE
public,auth_permission,BASE TABLE
public,auth_user,BASE TABLE
public,customer,BASE TABLE
public,customerinfo,BASE TABLE
public,django_content_type,BASE TABLE
public,django_content_type_copy,BASE TABLE
public,django_migrations,BASE TABLE
public,django_session,BASE TABLE
public,django_site,BASE TABLE
public,dns records,BASE TABLE
public,dns_records,BASE TABLE
public,employees,BASE TABLE
public,explore_exploresavedquery,BASE TABLE
public,explore_exploresavedqueryproject,BASE TABLE
public,feedback_feedback,BASE TABLE
public,flags_audit_log,BASE TABLE
public,flags_webhooksigningsecret,BASE TABLE
public,hybridcloud_apikeyreplica,BASE TABLE
public,hybridcloud_apitokenreplica,BASE TABLE
public,hybridcloud_controlcacheversion,BASE TABLE
public,hybridcloud_externalactorreplica,BASE TABLE
public,hybridcloud_organizationslugreservationreplica,BASE TABLE
public,hybridcloud_orgauthtokenreplica,BASE TABLE
public,hybridcloud_regioncacheversion,BASE TABLE
public,hybridcloud_webhookpayload,BASE TABLE
public,nodestore_node,BASE TABLE
public,p^roduct,BASE TABLE
public,pgbench_accounts,BASE TABLE
public,pgbench_branches,BASE TABLE
public,pgbench_history,BASE TABLE
public,pgbench_tellers,BASE TABLE
public,replays_replayrecordingsegment,BASE TABLE
public,schema_change_log,BASE TABLE
public,sentry_activity,BASE TABLE
public,sentry_actor,BASE TABLE
public,sentry_alertrule,BASE TABLE
public,sentry_alertruleactivity,BASE TABLE
public,sentry_alertruleprojects,BASE TABLE
public,sentry_alertruletrigger,BASE TABLE
public,sentry_alertruletriggeraction,BASE TABLE
public,sentry_apiapplication,BASE TABLE
public,sentry_apiauthorization,BASE TABLE
public,sentry_apigrant,BASE TABLE
public,sentry_apikey,BASE TABLE
public,sentry_apitoken,BASE TABLE
public,sentry_artifactbundle,BASE TABLE
public,sentry_artifactbundleindex,BASE TABLE
public,sentry_assistant_activity,BASE TABLE
public,sentry_auditlogentry,BASE TABLE
public,sentry_authidentity,BASE TABLE
public,sentry_authidentityreplica,BASE TABLE
public,sentry_authprovider,BASE TABLE
public,sentry_authproviderreplica,BASE TABLE
public,sentry_broadcast,BASE TABLE
public,sentry_broadcastseen,BASE TABLE
public,sentry_commit,BASE TABLE
public,sentry_commitauthor,BASE TABLE
public,sentry_commitfilechange,BASE TABLE
public,sentry_controlfile,BASE TABLE
public,sentry_controlfileblob,BASE TABLE
public,sentry_controlfileblobindex,BASE TABLE
public,sentry_controlfileblobowner,BASE TABLE
public,sentry_controlimportchunk,BASE TABLE
public,sentry_controlimportchunkreplica,BASE TABLE
public,sentry_controloption,BASE TABLE
public,sentry_controloutbox,BASE TABLE
public,sentry_controlrelocationtransfer,BASE TABLE
public,sentry_controltombstone,BASE TABLE
public,sentry_customdynamicsamplingrule,BASE TABLE
public,sentry_customdynamicsamplingruleproject,BASE TABLE
public,sentry_dashboard,BASE TABLE
public,sentry_dashboardfavoriteuser,BASE TABLE
public,sentry_dashboardpermissions,BASE TABLE
public,sentry_dashboardpermissionsteam,BASE TABLE
public,sentry_dashboardproject,BASE TABLE
public,sentry_dashboardtombstone,BASE TABLE
public,sentry_dashboardwidget,BASE TABLE
public,sentry_dashboardwidgetquery,BASE TABLE
public,sentry_dashboardwidgetqueryondemand,BASE TABLE
public,sentry_datasecrecywaiver,BASE TABLE
public,sentry_debugidartifactbundle,BASE TABLE
public,sentry_deletedorganization,BASE TABLE
public,sentry_deletedproject,BASE TABLE
public,sentry_deletedteam,BASE TABLE
public,sentry_deploy,BASE TABLE
public,sentry_discoversavedquery,BASE TABLE
public,sentry_discoversavedqueryproject,BASE TABLE
public,sentry_distribution,BASE TABLE
public,sentry_docintegration,BASE TABLE
public,sentry_docintegrationavatar,BASE TABLE
public,sentry_email,BASE TABLE
public,sentry_environment,BASE TABLE
public,sentry_environmentproject,BASE TABLE
public,sentry_environmentrelease,BASE TABLE
public,sentry_eventattachment,BASE TABLE
public,sentry_exporteddata,BASE TABLE
public,sentry_exporteddatablob,BASE TABLE
public,sentry_externalactor,BASE TABLE
public,sentry_externalissue,BASE TABLE
public,sentry_featureadoption,BASE TABLE
public,sentry_file,BASE TABLE
public,sentry_fileblob,BASE TABLE
public,sentry_fileblobindex,BASE TABLE
public,sentry_fileblobowner,BASE TABLE
public,sentry_groupasignee,BASE TABLE
public,sentry_groupbookmark,BASE TABLE
public,sentry_groupcommitresolution,BASE TABLE
public,sentry_groupedmessage,BASE TABLE
public,sentry_groupemailthread,BASE TABLE
public,sentry_groupenvironment,BASE TABLE
public,sentry_grouphash,BASE TABLE
public,sentry_grouphashmetadata,BASE TABLE
public,sentry_grouphistory,BASE TABLE
public,sentry_groupinbox,BASE TABLE
public,sentry_grouplink,BASE TABLE
public,sentry_groupmeta,BASE TABLE
public,sentry_groupowner,BASE TABLE
public,sentry_groupredirect,BASE TABLE
public,sentry_grouprelease,BASE TABLE
public,sentry_groupresolution,BASE TABLE
public,sentry_grouprulestatus,BASE TABLE
public,sentry_groupsearchview,BASE TABLE
public,sentry_groupsearchviewlastvisited,BASE TABLE
public,sentry_groupsearchviewproject,BASE TABLE
public,sentry_groupsearchviewstarred,BASE TABLE
public,sentry_groupseen,BASE TABLE
public,sentry_groupshare,BASE TABLE
public,sentry_groupsnooze,BASE TABLE
public,sentry_groupsubscription,BASE TABLE
public,sentry_grouptombstone,BASE TABLE
public,sentry_identity,BASE TABLE
public,sentry_identityprovider,BASE TABLE
public,sentry_incident,BASE TABLE
public,sentry_incidentactivity,BASE TABLE
public,sentry_incidentproject,BASE TABLE
public,sentry_incidentsnapshot,BASE TABLE
public,sentry_incidenttrigger,BASE TABLE
public,sentry_integration,BASE TABLE
public,sentry_integrationexternalproject,BASE TABLE
public,sentry_integrationfeature,BASE TABLE
public,sentry_latestrelease,BASE TABLE
public,sentry_lostpasswordhash,BASE TABLE
public,sentry_monitor,BASE TABLE
public,sentry_monitorcheckin,BASE TABLE
public,sentry_monitorenvbrokendetection,BASE TABLE
public,sentry_monitorenvironment,BASE TABLE
public,sentry_monitorincident,BASE TABLE
public,sentry_monitorlocation,BASE TABLE
public,sentry_neglectedrule,BASE TABLE
public,sentry_notificationaction,BASE TABLE
public,sentry_notificationactionproject,BASE TABLE
public,sentry_notificationmessage,BASE TABLE
public,sentry_notificationsettingoption,BASE TABLE
public,sentry_notificationsettingprovider,BASE TABLE
public,sentry_option,BASE TABLE
public,sentry_organization,BASE TABLE
public,sentry_organizationaccessrequest,BASE TABLE
public,sentry_organizationavatar,BASE TABLE
public,sentry_organizationintegration,BASE TABLE
public,sentry_organizationmapping,BASE TABLE
public,sentry_organizationmember,BASE TABLE
public,sentry_organizationmember_teams,BASE TABLE
public,sentry_organizationmember_teamsreplica,BASE TABLE
public,sentry_organizationmemberinvite,BASE TABLE
public,sentry_organizationmembermapping,BASE TABLE
public,sentry_organizationonboardingtask,BASE TABLE
public,sentry_organizationoptions,BASE TABLE
public,sentry_organizationslugreservation,BASE TABLE
public,sentry_orgauthtoken,BASE TABLE
public,sentry_pagerdutyservice,BASE TABLE
public,sentry_pendingincidentsnapshot,BASE TABLE
public,sentry_performanceteamkeytransaction,BASE TABLE
public,sentry_perfstringindexer,BASE TABLE
public,sentry_platformexternalissue,BASE TABLE
public,sentry_proguardartifactrelease,BASE TABLE
public,sentry_project,BASE TABLE
public,sentry_projectartifactbundle,BASE TABLE
public,sentry_projectbookmark,BASE TABLE
public,sentry_projectcodeowners,BASE TABLE
public,sentry_projectcounter,BASE TABLE
public,sentry_projectdsymfile,BASE TABLE
public,sentry_projectintegration,BASE TABLE
public,sentry_projectkey,BASE TABLE
public,sentry_projectoptions,BASE TABLE
public,sentry_projectownership,BASE TABLE
public,sentry_projectplatform,BASE TABLE
public,sentry_projectredirect,BASE TABLE
public,sentry_projectteam,BASE TABLE
public,sentry_projecttemplate,BASE TABLE
public,sentry_projecttemplateoption,BASE TABLE
public,sentry_projecttransactionthreshold,BASE TABLE
public,sentry_projecttransactionthresholdoverride,BASE TABLE
public,sentry_promptsactivity,BASE TABLE
public,sentry_pull_request,BASE TABLE
public,sentry_pullrequest_comment,BASE TABLE
public,sentry_pullrequest_commit,BASE TABLE
public,sentry_querysubscription,BASE TABLE
public,sentry_recentsearch,BASE TABLE
public,sentry_regionimportchunk,BASE TABLE
public,sentry_regionoutbox,BASE TABLE
public,sentry_regionrelocationtransfer,BASE TABLE
public,sentry_regionscheduleddeletion,BASE TABLE
public,sentry_regiontombstone,BASE TABLE
public,sentry_regressiongroup,BASE TABLE
public,sentry_relay,BASE TABLE
public,sentry_relayusage,BASE TABLE
public,sentry_release,BASE TABLE
public,sentry_release_project,BASE TABLE
public,sentry_releaseactivity,BASE TABLE
public,sentry_releaseartifactbundle,BASE TABLE
public,sentry_releasecommit,BASE TABLE
public,sentry_releasefile,BASE TABLE
public,sentry_releaseheadcommit,BASE TABLE
public,sentry_releaseprojectenvironment,BASE TABLE
public,sentry_releasethreshold,BASE TABLE
public,sentry_relocation,BASE TABLE
public,sentry_relocationfile,BASE TABLE
public,sentry_relocationvalidation,BASE TABLE
public,sentry_relocationvalidationattempt,BASE TABLE
public,sentry_repository,BASE TABLE
public,sentry_repositoryprojectpathconfig,BASE TABLE
public,sentry_rollbackorganization,BASE TABLE
public,sentry_rollbackuser,BASE TABLE
public,sentry_rule,BASE TABLE
public,sentry_ruleactivity,BASE TABLE
public,sentry_rulefirehistory,BASE TABLE
public,sentry_rulesnooze,BASE TABLE
public,sentry_savedsearch,BASE TABLE
public,sentry_scheduleddeletion,BASE TABLE
public,sentry_scheduledjob,BASE TABLE
public,sentry_sentryapp,BASE TABLE
public,sentry_sentryappavatar,BASE TABLE
public,sentry_sentryappcomponent,BASE TABLE
public,sentry_sentryappinstallation,BASE TABLE
public,sentry_sentryappinstallationforprovider,BASE TABLE
public,sentry_sentryappinstallationtoken,BASE TABLE
public,sentry_sentryshot,BASE TABLE
public,sentry_servicehook,BASE TABLE
public,sentry_servicehookproject,BASE TABLE
public,sentry_snubaquery,BASE TABLE
public,sentry_snubaqueryeventtype,BASE TABLE
public,sentry_stringindexer,BASE TABLE
public,sentry_team,BASE TABLE
public,sentry_teamreplica,BASE TABLE
public,sentry_timeseriessnapshot,BASE TABLE
public,sentry_useravatar,BASE TABLE
public,sentry_useremail,BASE TABLE
public,sentry_userip,BASE TABLE
public,sentry_useroption,BASE TABLE
public,sentry_userpermission,BASE TABLE
public,sentry_userreport,BASE TABLE
public,sentry_userrole,BASE TABLE
public,sentry_userrole_users,BASE TABLE
public,social_auth_usersocialauth,BASE TABLE
public,tempest_tempestcredentials,BASE TABLE
public,uptime_projectuptimesubscription,BASE TABLE
public,uptime_uptimesubscription,BASE TABLE
public,uptime_uptimesubscriptionregion,BASE TABLE
public,workflow_engine_action,BASE TABLE
public,workflow_engine_actionalertruletriggeraction,BASE TABLE
public,workflow_engine_actiongroupstatus,BASE TABLE
public,workflow_engine_alertruledetector,BASE TABLE
public,workflow_engine_alertruleworkflow,BASE TABLE
public,workflow_engine_datacondition,BASE TABLE
public,workflow_engine_dataconditiongroup,BASE TABLE
public,workflow_engine_dataconditiongroupaction,BASE TABLE
public,workflow_engine_datasource,BASE TABLE
public,workflow_engine_datasourcedetector,BASE TABLE
public,workflow_engine_detector,BASE TABLE
public,workflow_engine_detectorstate,BASE TABLE
public,workflow_engine_detectorworkflow,BASE TABLE
public,workflow_engine_workflow,BASE TABLE
public,workflow_engine_workflowaction,BASE TABLE
public,workflow_engine_workflowdataconditiongroup,BASE TABLE
